"","accession","Description","Protein.FDR.Confidence.Combined","Exp.q.value.Combined","Sum.PEP.Score","Coverage.in.Percent","Number.of.Peptides","Number.of.PSMs","Number.of.Unique.Peptides","B12_4_1_A","noB12_4_1_A","B12_12_3_A","noB12_12_3_A","pool2_A","B12_12_1_B","noB12_12_2_B","B12_4_2_B","noB12_4_2_B","B12_4_3_B","pool1_B","pool2_B"
"60","OEU18406.1","putative coatomer, gamma-subunit [Fragilariopsis cylindrus CCMP1102]","High",0,46.254,13,12,22,12,23.2138618059338,21.3660473020525,27.2684606617274,27.5468938047373,18.378085751306,8.5005552518485,9.46637452884554,6.47362109878724,6.22019474481342,20.6205714164085,18.3095915492729,18.4641702495298
"61","1783488163","translation elongation factor Tu (chloroplast) [Fragilariopsis cylindrus]","High",0,46.005,18,8,32,8,17.1281561264455,15.7761302808878,20.018481876264,12.292747161426,16.5192124245389,6.86183795748119,38.5909899500372,21.8001188666649,17.6805275519023,16.0635468585598,18.5859796147694,14.4430753184237
"62","OEU23107.1","Ribosomal_L10/acidic_P0 [Fragilariopsis cylindrus CCMP1102]","High",0,45.873,32,8,25,8,8.59115580008631,8.71788169087204,9.12687531804131,10.7557511110019,11.9453935362961,10.4348182408564,13.3880595869595,10.1305539700346,17.1671535613569,10.4817989858415,12.5836465402899,11.3104957651957
"63","OEU22082.1","hypothetical protein FRACYDRAFT_267152 [Fragilariopsis cylindrus CCMP1102]","High",0,45.842,37,9,32,9,15.3978861642738,19.1230492935929,10.6351475412737,11.2068333265188,12.2922185830054,6.50379863631077,11.1238855702649,11.0238732041992,7.02977080111838,5.72565510068386,11.7521650228549,12.8498849776407
"64","1773362812","60 kDa chaperonin (chloroplast) [Fragilariopsis cylindrus]","High",0,45.561,16,9,18,9,13.6392649247709,17.2128958943938,15.9884352191087,11.727640282398,8.8134205265397,11.1731650131322,9.41427400674866,9.56175720036417,9.54063723532794,10.1215293282411,9.63996363836426,7.98514530963594
"65","OEU22459.1","chloroplast ferredoxin dependent NADH oxireductase [Fragilariopsis cylindrus CCMP1102]","High",0,45.416,18,9,40,7,187.125396656741,217.330251020969,152.724414895417,125.615551100579,130.776990804513,143.875017709827,116.817028184653,146.464426245027,135.025147068072,165.919388860137,125.592515248503,136.142210174488
"66","OEU22395.1","P-type ATPase [Fragilariopsis cylindrus CCMP1102]","High",0,44.971,11,12,23,12,19.4697948877184,15.0351840308823,16.7616565408423,17.0137861430484,19.3273779438062,18.6432988492319,33.3209583055687,22.1520361382267,20.7577389311401,20.699654898656,19.7341349476069,18.9334551224949
"68","OEU09487.1","putative isopropylmalate synthase plastid precursor [Fragilariopsis cylindrus CCMP1102]","High",0,44.291,18,10,23,10,4.34434176648031,5.65946326237782,6.94938082195005,6.96373934821458,14.0079932609994,16.8688486228677,29.4401032981795,14.485953771084,12.6351895013306,12.6859445338,15.4361406979962,12.5757387883599
"69","OEU13516.1","hypothetical protein FRACYDRAFT_262284 [Fragilariopsis cylindrus CCMP1102]","High",0,44.106,7,14,28,14,9.11901743007457,8.29820203381181,13.055133449437,18.0326569953906,12.7473101578532,19.1121805816536,13.9889178105095,12.8280768849151,17.178601491899,16.4445440285944,14.157714632379,11.3318575170811
"70","OEU11456.1","pyruvate dehydrogenase E1 component beta [Fragilariopsis cylindrus CCMP1102]","High",0,43.275,14,12,30,12,13.8653540720172,24.3220266782029,13.6709955671506,14.5608072155526,14.828811282704,15.797024345304,9.85617823552374,15.1814926769844,13.8115984945863,16.7441740320336,14.3502189732338,15.3266052675438
"71","OEU18642.1","ribonucleoside-diphosphate reductase-like protein M1 chain [Fragilariopsis cylindrus CCMP1102]","High",0,42.926,14,14,24,14,16.9243513514732,14.8034558299542,16.1953724704918,18.2406736970281,12.5357977793406,13.916501770093,12.6577845352946,11.8104150732442,15.7175741729599,9.31500303079914,14.5613832812519,10.4976925808078
"72","OEU15339.1","mitochondrial glyceraldehyde-3-phosphate dehydrogenase [Fragilariopsis cylindrus CCMP1102]","High",0,42.354,29,9,21,5,13.2248413895617,9.12085017252121,25.3600496598973,14.3849471055668,9.44345698702425,9.4238540636969,14.8219705519277,10.8935405614762,11.1684357662141,8.92444201617067,10.0415467087452,8.84691331640315
"73","OEU08966.1","hypothetical protein FRACYDRAFT_271636, partial [Fragilariopsis cylindrus CCMP1102]","High",0,42.223,26,9,19,9,4.53128178333262,9.44479018004314,6.00309907359374,10.4568860165949,12.4929014110659,10.847898370238,18.663927703319,8.52128591137857,7.39317303912405,9.63180280102644,14.0062710529503,10.9730331025765
"74","OEU14220.1","Triosephosphate isomerase [Fragilariopsis cylindrus CCMP1102]","High",0,41.749,23,7,21,7,18.1367177968052,16.4022668349039,16.7339714117352,17.029082552399,14.8030772931316,16.8356523599395,20.1372690009354,14.6683644739081,14.3175686255194,13.1128794091264,12.7986345961417,16.8447510124549
"75","OEU22536.1","hypothetical protein FRACYDRAFT_267308 [Fragilariopsis cylindrus CCMP1102]","High",0,41.719,19,9,21,9,7.99503260106435,6.62791385869647,12.0092245866685,6.61240392795097,8.07530171747469,6.16848592461479,6.6791418179141,6.75308084772319,4.36017516734665,8.51397614949113,8.48331507397073,7.66983408890994
"76","OEU13762.1","phosphoglycerate kinase precursor [Fragilariopsis cylindrus CCMP1102]","High",0,41.492,15,8,44,8,34.9151271499959,37.6465668956266,25.9729465340267,15.9400263913559,26.3341561226936,29.9217321587651,18.2223975038502,33.9372899071037,29.7998264160948,34.5699763048782,23.5268746865031,29.1986955638307
"77","OEU17427.1","putative plastid UDP-sulfoquinovose synthase [Fragilariopsis cylindrus CCMP1102]","High",0,41.312,12,7,14,7,6.20449096155949,4.5342075635784,6.28479240428952,7.85753133419362,7.09895773798584,7.96138216762422,9.4295585392329,6.1013567356552,5.55385551809705,7.04884463299529,8.48128308489759,5.70675926936008
"78","OEU22233.1","putative aspartate aminotransferase [Fragilariopsis cylindrus CCMP1102]","High",0,41.273,24,9,26,9,11.5229462015644,14.4702353481864,10.5696617994658,9.21400643943729,9.99594488165883,9.62211892203943,5.94625593339246,8.9486553897495,9.89464110403121,12.1763702190455,9.67045708159217,10.334410328754
"79","OEU07692.1","hypothetical protein FRACYDRAFT_271909 [Fragilariopsis cylindrus CCMP1102]","High",0,41.08,23,7,24,7,14.2034907663902,18.6126654625187,16.5888525458121,12.532151210582,14.0065395439799,8.95159871091981,38.1796505882548,5.4279567130637,8.22882842614757,8.63519801521589,20.887866010928,7.05658634039908
"80","OEU08031.1","ATP-dependent metalloprotease FtsH [Fragilariopsis cylindrus CCMP1102]","High",0,40.91,14,9,33,8,14.7635480170751,12.4309414129909,12.944594589545,14.3822672302716,16.6696640139071,10.6751495133577,26.7114044892835,20.0812753676452,15.1502285681059,15.8026286574621,18.7143624540816,14.6159941288118
"81","OEU16187.1","heat shock protein 70 [Fragilariopsis cylindrus CCMP1102]","High",0,40.746,11,8,25,8,14.6301287440933,9.70705266292268,12.7420002351837,9.35595699879064,8.63777111017468,11.5843508114849,8.94437851130986,7.55769357944478,7.99669414890019,8.34104829206342,9.36233223797363,7.91252408518927
"83","OEU07787.1","hypothetical protein FRACYDRAFT_277785 [Fragilariopsis cylindrus CCMP1102]","High",0,40.231,22,6,38,6,7.6656598704264,12.1706965870136,6.061957993904,7.5126323086944,8.97032956990025,10.044087269776,14.2832965482931,8.13386468015716,8.34101958122356,12.8409385037281,8.631567678134,9.32128973157826
"84","OEU16010.1","pyruvate carboxylase [Fragilariopsis cylindrus CCMP1102]","High",0,40.077,9,11,22,11,15.2702925787182,15.2070351061166,10.0620996171053,8.13217216728623,10.2214701655402,10.1690531191635,6.637838593164,15.1347123092447,8.21297837946867,10.2498288457926,9.06262449688087,11.4033591286678
"85","OEU11898.1","translation elongation factor Ts [Fragilariopsis cylindrus CCMP1102]","High",0,40.033,17,9,25,9,25.5163243557406,26.0875908112311,20.6739714655618,14.0473712029195,12.3606529027404,10.3691387696764,13.5811750171505,16.0180638869275,13.7311295577952,15.7863700148462,11.1254066527267,13.6217995262664
"86","OEU18066.1","protoporphyrin IX Mg-chelatase subunit H [Fragilariopsis cylindrus CCMP1102]","High",0,39.966,6,8,23,8,6.123567839967,3.81522929550469,2.85347208347946,4.25360500769096,6.46392262276593,2.37920002425854,7.96033824498959,10.7312803968232,6.24440944464621,6.13207943380516,5.32961277731477,7.61755468181565
"87","OEU13481.1","asparagine synthase [Fragilariopsis cylindrus CCMP1102]","High",0,39.754,16,10,30,10,12.39556386854,7.11279000459799,12.1911428055444,13.8835593956652,12.7518658691781,15.7690611894077,9.58695273180236,15.1262077471409,14.7317253497498,17.2709927315832,14.7251730198805,10.7668548231084
"88","OEU22551.1","coatomer subunit beta'-1 [Fragilariopsis cylindrus CCMP1102]","High",0,39.448,10,9,20,9,8.70769072518024,9.72316078672576,5.07893410664148,8.99062176351726,8.9945505496831,1.32811373768152,5.9558861545407,1.39792218508963,2.44175826703648,1.54357903886066,5.63463835716311,12.4024273602369
"89","OEU17524.1","trigger factor [Fragilariopsis cylindrus CCMP1102]","High",0,39.167,17,10,22,10,14.4264770715633,24.676903246631,11.8203570067094,20.8771723985911,19.8226226519574,20.7738270880703,21.4956369502262,21.4654548671591,20.4738368863617,22.7377646717263,19.0094608669732,20.6635040620993
"90","OEU19574.1","hypothetical protein FRACYDRAFT_268048 [Fragilariopsis cylindrus CCMP1102]","High",0,39.127,26,6,18,6,17.6693146842305,14.8199236004348,15.3486745860523,19.1740133791325,15.0148710232187,18.9233101844923,17.2048090068087,22.5724319228664,21.63080626028,28.8208061034391,14.6810518006792,15.3663489425106
"91","OEU10673.1","Phosphoadenosine phosphosulfate reductase [Fragilariopsis cylindrus CCMP1102]","High",0,39.118,23,10,18,10,9.81366883105744,6.98532786671508,8.40346309408653,6.46547023157358,9.74188416503779,12.5899987491795,8.94117740396157,13.1792581586111,12.4404013747938,14.3263084358607,9.7048569540636,9.78824418245565
"92","OEU21065.1","putative carrier protein [Fragilariopsis cylindrus CCMP1102]","High",0,39.103,32,12,35,12,12.0157720992901,8.92378300874101,12.7375913108875,12.2597318802438,8.87230725653104,9.73542660135447,13.4815890951573,9.80161319762006,6.82125091965552,8.85943415969093,7.74414768712365,10.0219152239172
"93","OEU22818.1","NAD(P)-binding protein [Fragilariopsis cylindrus CCMP1102]","High",0,39.05,24,7,19,7,13.7387410880717,20.8317960194644,11.6670425618689,11.5945274655465,9.45332776044007,8.57638085430403,6.61228075413941,10.3841995178001,9.57290598269966,12.3261475839911,7.57098303054249,11.366574398314
"94","OEU18841.1","ribosomal protein S13 [Fragilariopsis cylindrus CCMP1102]","High",0,39.027,44,8,17,8,14.7843891325248,20.8007216240751,14.2607650507634,11.8475998922574,10.5335656069144,11.4177482721598,10.4020569139283,12.6143907150642,14.1678576147861,16.4314322431958,11.0952362451801,9.97486721827704
