Name
fcy:FRACYDRAFT_135771 K02320 DNA polymerase alpha subunit A [EC:2.7.7.7] | (GenBank) DNA_pol_B-domain-containing protein 
fcy:FRACYDRAFT_140665 K01785 aldose 1-epimerase [EC:5.1.3.3] | (GenBank) galactose mutarotase-like protein 
fcy:FRACYDRAFT_140709 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_140762 K04503 G1/S-specific cyclin-D1 | (GenBank) dsCyc9b; cyclin-like protein 
fcy:FRACYDRAFT_140767 no KO assigned | (GenBank) cysteine proteinase 
fcy:FRACYDRAFT_140783 no KO assigned | (GenBank) ARM repeat-containing protein 
"fcy:FRACYDRAFT_140785 K15111 solute carrier family 25 (mitochondrial S-adenosylmethionine transporter), member 26 | (GenBa "
fcy:FRACYDRAFT_140795 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_140828 no KO assigned | (GenBank) NAD(P)-binding protein 
fcy:FRACYDRAFT_140882 no KO assigned | (GenBank) HAD-like protein 
fcy:FRACYDRAFT_140920 K17744 L-galactose dehydrogenase [EC:1.1.1.316] | (GenBank) Aldo/keto reductase 
fcy:FRACYDRAFT_140928 K16329 pseudouridylate synthase [EC:4.2.1.70] | (GenBank) indigoidine synthase A-like protein 
fcy:FRACYDRAFT_140961 no KO assigned | (GenBank) PAP2-domain-containing protein 
fcy:FRACYDRAFT_140979 K11412 NAD+-dependent protein deacetylase sirtuin 2 [EC:2.3.1.286] | (GenBank) DHS-like NAD/FAD-bind 
fcy:FRACYDRAFT_140994 K00640 serine O-acetyltransferase [EC:2.3.1.30] | (GenBank) trimeric LpxA-like protein 
fcy:FRACYDRAFT_140996 K05359 arogenate/prephenate dehydratase [EC:4.2.1.91 4.2.1.51] | (GenBank) PDT-domain-containing pro 
fcy:FRACYDRAFT_141001 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141010 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141039 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141063 K04345 protein kinase A [EC:2.7.11.11] | (GenBank) kinase-like protein 
fcy:FRACYDRAFT_141197 no KO assigned | (GenBank) trehalose-phosphatase 
fcy:FRACYDRAFT_141201 K00784 ribonuclease Z [EC:3.1.26.11] | (GenBank) Metallo-hydrolase/oxidoreductase 
fcy:FRACYDRAFT_141223 no KO assigned | (GenBank) SNARE_assoc-domain-containing protein 
fcy:FRACYDRAFT_141241 no KO assigned | (GenBank) dsCyc3b; cyclin-like protein 
fcy:FRACYDRAFT_141320 K06655 negative regulator of the PHO system [EC:2.7.11.22] | (GenBank) Pkinase-domain-containing pro 
fcy:FRACYDRAFT_141323 no KO assigned | (GenBank) THF_DHG_CYH_C-domain-containing protein 
fcy:FRACYDRAFT_141378 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141404 K24750 WD repeat-containing protein 55 | (GenBank) WD40 repeat-like protein 
fcy:FRACYDRAFT_141423 no KO assigned | (GenBank) AAA ATPase 
fcy:FRACYDRAFT_141427 K14850 ribosomal RNA-processing protein 8 [EC:2.1.1.287] | (GenBank) Methyltransf_8-domain-containin 
fcy:FRACYDRAFT_141457 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141460 no KO assigned | (GenBank) major intrinsic protein 
fcy:FRACYDRAFT_141468 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141473 no KO assigned | (GenBank) ferredoxin reductase-like protein 
fcy:FRACYDRAFT_141479 no KO assigned | (GenBank) Ion_trans_2-domain-containing protein 
fcy:FRACYDRAFT_141549 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141572 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141573 no KO assigned | (GenBank) Metallo-hydrolase/oxidoreductase 
fcy:FRACYDRAFT_141595 no KO assigned | (GenBank) DUF1415-domain-containing protein 
fcy:FRACYDRAFT_141596 no KO assigned | (GenBank) HAD-like protein 
fcy:FRACYDRAFT_141597 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141625 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141640 no KO assigned | (GenBank) N-terminal nucleophile aminohydrolase 
fcy:FRACYDRAFT_141642 K12608 CCR4-NOT complex subunit CAF16 | (GenBank) P-loop containing nucleoside triphosphate hydrolas 
fcy:FRACYDRAFT_141647 K06942 ribosome-binding ATPase | (GenBank) P-loop containing nucleoside triphosphate hydrolase prote 
fcy:FRACYDRAFT_141662 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141664 K00227 Delta7-sterol 5-desaturase [EC:1.14.19.20] | (GenBank) putative sterol-C5(6)-desaturase 
fcy:FRACYDRAFT_141687 no KO assigned | (GenBank) kinase-like protein 
fcy:FRACYDRAFT_141714 no KO assigned | (GenBank) L domain-like protein 
fcy:FRACYDRAFT_141745 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141753 no KO assigned | (GenBank) ribosomal protein L25-like protein 
fcy:FRACYDRAFT_141761 no KO assigned | (GenBank) protein serine/threonine phosphatase 2C 
fcy:FRACYDRAFT_141781 K08081 tropinone reductase I [EC:1.1.1.206] | (GenBank) NAD(P)-binding protein 
fcy:FRACYDRAFT_141786 no KO assigned | (GenBank) phosphoglycerate mutase 
fcy:FRACYDRAFT_141819 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141834 K12843 U4/U6 small nuclear ribonucleoprotein PRP3 | (GenBank) Pre-mRNA-splicing factor 3 
fcy:FRACYDRAFT_141870 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141877 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141889 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_141920 K00326 cytochrome-b5 reductase [EC:1.6.2.2] | (GenBank) ferredoxin reductase-like protein 
fcy:FRACYDRAFT_141956 K03754 translation initiation factor eIF-2B subunit beta | (GenBank) putative translation initiation 
fcy:FRACYDRAFT_141982 no KO assigned | (GenBank) NAD(P)-binding protein 
fcy:FRACYDRAFT_141986 K04739 cAMP-dependent protein kinase regulator | (GenBank) camp-binding domain-like protein 
fcy:FRACYDRAFT_142012 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_142029 no KO assigned | (GenBank) protein serine/threonine phosphatase 2C 
fcy:FRACYDRAFT_142048 no KO assigned | (GenBank) SNF2_N-domain-containing protein 
fcy:FRACYDRAFT_142076 K15333 tRNA guanosine-2'-O-methyltransferase [EC:2.1.1.34] | (GenBank) tRNA/rRNA methyltransferase 
fcy:FRACYDRAFT_142111 no KO assigned | (GenBank) WD40 repeat-like protein 
fcy:FRACYDRAFT_142114 no KO assigned | (GenBank) kinase-like protein 
fcy:FRACYDRAFT_142118 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_142206 no KO assigned | (GenBank) NAD(P)-binding protein 
fcy:FRACYDRAFT_142304 no KO assigned | (GenBank) pseudouridine synthase 
fcy:FRACYDRAFT_142340 K07442 tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220] 
fcy:FRACYDRAFT_142345 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_142380 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_142382 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_142470 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_142527 K05542 tRNA-dihydrouridine synthase 1 [EC:1.3.1.88] | (GenBank) FMN-linked oxidoreductase 
fcy:FRACYDRAFT_142552 K22390 acid phosphatase type 7 | (GenBank) Metallo-dependent phosphatase 
fcy:FRACYDRAFT_142575 K10669 2'-phosphotransferase [EC:2.7.1.160] | (GenBank) phosphotransferase KptA/Tpt1 
fcy:FRACYDRAFT_142586 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_142640 K06867 uncharacterized protein | (GenBank) ankyrin 
fcy:FRACYDRAFT_142663 no KO assigned | (GenBank) AAA ATPase 
fcy:FRACYDRAFT_142695 no KO assigned | (GenBank) TRAP-like protein 
fcy:FRACYDRAFT_142707 no KO assigned | (GenBank) L domain-like protein 
fcy:FRACYDRAFT_142710 no KO assigned | (GenBank) cysteine proteinase 
fcy:FRACYDRAFT_142781 K06685 MOB kinase activator 1 | (GenBank) Mob1/phocein 
fcy:FRACYDRAFT_142789 K06130 lysophospholipase II [EC:3.1.1.5] | (GenBank) putative carboxylesterase 
fcy:FRACYDRAFT_142796 K02258 cytochrome c oxidase assembly protein subunit 11 | (GenBank) cytochrome c oxidase assembly pr 
fcy:FRACYDRAFT_142798 K06182 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21] | (GenBank) pseudouridine synthase 
fcy:FRACYDRAFT_142829 no KO assigned | (GenBank) L domain-like protein 
fcy:FRACYDRAFT_142880 no KO assigned | (GenBank) S-adenosyl-L-methionine-dependent methyltransferase 
fcy:FRACYDRAFT_142899 K00859 dephospho-CoA kinase [EC:2.7.1.24] | (GenBank) P-loop containing nucleoside triphosphate hydr 
fcy:FRACYDRAFT_142958 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_142959 K03022 DNA-directed RNA polymerase III subunit RPC8 | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_142964 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143055 no KO assigned | (GenBank) NAD(P)-binding protein 
fcy:FRACYDRAFT_143063 K03768 peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8] | (GenBank) cyclophilin-li 
fcy:FRACYDRAFT_143073 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143082 K14411 RNA-binding protein Musashi | (GenBank) RNA-binding domain-containing protein 
fcy:FRACYDRAFT_143087 K09660 mannose-P-dolichol utilization defect 1 | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143092 K07304 peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11] | (GenBank) putative peptide methionin 
fcy:FRACYDRAFT_143116 K03978 GTP-binding protein | (GenBank) small GTP-binding protein 
fcy:FRACYDRAFT_143143 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143164 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143165 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143170 no KO assigned | (GenBank) Arf GTPase activating protein 
fcy:FRACYDRAFT_143186 K23326 cyclin K | (GenBank) CycL1; cyclin-like protein 
fcy:FRACYDRAFT_143190 no KO assigned | (GenBank) LHCF23; fucoxanthin chlorophyll a/c protein 
fcy:FRACYDRAFT_143223 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143225 K20003 palmitoyltransferase ZDHHC4 [EC:2.3.1.225] | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143231 no KO assigned | (GenBank) Arf GTPase activating protein 
fcy:FRACYDRAFT_143252 K20304 trafficking protein particle complex subunit 6 | (GenBank) transport protein particle compone 
fcy:FRACYDRAFT_143275 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143281 no KO assigned | (GenBank) chlorophyll a/b-binding protein 
fcy:FRACYDRAFT_143320 no KO assigned | (GenBank) ribonuclease H-like protein 
fcy:FRACYDRAFT_143321 K03115 casein kinase II subunit beta | (GenBank) casein kinase II beta subunit 
fcy:FRACYDRAFT_143363 K02876 large subunit ribosomal protein L15 | (GenBank) ribosomal protein L15 
fcy:FRACYDRAFT_143375 K13989 Derlin-2/3 | (GenBank) Der1-like protein 
fcy:FRACYDRAFT_143385 K09528 DnaJ homolog subfamily C member 8 | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143430 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143435 K01759 lactoylglutathione lyase [EC:4.4.1.5] | (GenBank) glyoxalase I 
fcy:FRACYDRAFT_143441 K13347 peroxisomal membrane protein 2 | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143464 no KO assigned | (GenBank) AAA ATPase 
fcy:FRACYDRAFT_143466 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143485 no KO assigned | (GenBank) NAD(P)-binding protein 
fcy:FRACYDRAFT_143514 no KO assigned | (GenBank) hypothetical protein 
"fcy:FRACYDRAFT_143530 K08967 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54] | (GenBank) R "
fcy:FRACYDRAFT_143531 no KO assigned | (GenBank) kinase-like protein 
fcy:FRACYDRAFT_143546 no KO assigned | (GenBank) Leucyl/phenylalanyl-tRNA-protein transferase 
fcy:FRACYDRAFT_143550 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143558 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_143564 K00939 adenylate kinase [EC:2.7.4.3] | (GenBank) P-loop containing nucleoside triphosphate hydrolase 
fcy:FRACYDRAFT_143597 no KO assigned | (GenBank) L domain-like protein 
